##############	##### OUTPUT FILE	: joey40.dat	###################


TIME (ns)  SUR	FACE TEMPERATURE(	"K), MELT DEPT"	H(A) & EVAPN. DEPTH(A)
47.4001083	316.4399719	0	0
47.6001091	316.5681763	0	0
47.8001099	316.6970215	0	0
48.0001106	316.8265381	0	0
48.2001114	316.9567261	0	0
48.4001122	317.087616	0	0
48.6001129	317.2191467	0	0
48.8001137	317.3513794	0	0
49.0001144	317.4842834	0	0
49.2001152	317.6178589	0	0
49.400116	317.7521362	0	0
49.6001167	317.887085	0	0
49.8001175	318.0227356	0	0
50.0001183	318.1590881	0	0
50.200119	318.2961121	0	0
50.4001198	318.4338684	0	0
50.6001205	318.5722961	0	0
50.8001213	318.7114258	0	0
51.0001221	318.8512878	0	0
51.2001228	318.9918213	0	0
51.4001236	319.1330872	0	0
51.6001244	319.2750549	0	0
51.8001251	319.4177246	0	0
52.0001259	319.5611267	0	0
52.2001266	319.7052612	0	0
52.4001274	319.8500977	0	0
52.6001282	319.9956665	0	0
52.8001289	320.1419373	0	0
53.0001297	320.2889709	0	0
53.2001305	320.4367065	0	0
53.4001312	320.5851746	0	0
53.600132	320.7344055	0	0
53.8001328	320.8843689	0	0
54.0001335	321.0350342	0	0
54.2001343	321.1864929	0	0
54.400135	321.3386536	0	0
54.6001358	321.4915771	0	0
54.8001366	321.6452637	0	0
55.0001373	321.7996826	0	0
55.2001381	321.9548645	0	0
55.4001389	322.1108093	0	0
55.6001396	322.2675171	0	0
55.8001404	322.4249573	0	0
56.0001411	322.5831909	0	0
56.2001419	322.7421875	0	0
56.4001427	322.901947	0	0
56.6001434	323.0624695	0	0
56.8001442	323.2237549	0	0
57.000145	323.3858337	0	0
57.2001457	323.5487061	0	0
57.4001465	323.7123413	0	0
57.6001472	323.8767395	0	0
57.800148	324.0419312	0	0
58.0001488	324.2079468	0	0
58.2001495	324.3747253	0	0
58.4001503	324.5422974	0	0
58.6001511	324.7106628	0	0
58.8001518	324.8798218	0	0
59.0001526	325.0497742	0	0
59.2001534	325.2205505	0	0
59.4001541	325.3920898	0	0
59.6001549	325.5644836	0	0
59.8001556	325.7376709	0	0
60.0001564	325.9116516	0	0
60.2001572	326.0864563	0	0
60.4001579	326.262085	0	0
60.6001587	326.4385376	0	0
60.8001595	326.6157837	0	0
61.0001602	326.7938843	0	0
61.200161	326.9727783	0	0
61.4001617	327.1525269	0	0
61.6001625	327.3330994	0	0
61.8001633	327.5144958	0	0
62.000164	327.6967163	0	0
62.2001648	327.8797913	0	0
62.4001656	328.0637207	0	0
62.6001663	328.2484741	0	0
62.8001671	328.4340515	0	0
63.0001678	328.6205139	0	0
63.2001686	328.8078003	0	0
63.4001694	328.9959412	0	0
63.6001701	329.1849365	0	0
63.8001709	329.3747864	0	0
64.0001678	329.5655212	0	0
64.2001648	329.7570801	0	0
64.4001617	329.9495239	0	0
64.6001587	330.1428223	0	0
64.8001556	330.3370056	0	0
65.0001526	330.5320435	0	0
65.2001495	330.7279663	0	0
65.4001465	330.9247437	0	0
65.6001434	331.122406	0	0
65.8001404	331.3209534	0	0
66.0001373	331.5203857	0	0
66.2001343	331.7207031	0	0
66.4001312	331.9219055	0	0
66.6001282	332.1239929	0	0
66.8001251	332.3269653	0	0
67.0001221	332.5308533	0	0
67.200119	332.7355957	0	0
67.400116	332.9412842	0	0
67.6001129	333.1478577	0	0
67.8001099	333.3553162	0	0
68.0001068	333.5636902	0	0
68.2001038	333.7729797	0	0
68.4001007	333.9831848	0	0
68.6000977	334.1942749	0	0
68.8000946	334.406311	0	0
69.0000916	334.6192627	0	0
69.2000885	334.8330994	0	0
69.4000854	335.0478821	0	0
69.6000824	335.2636108	0	0
69.8000793	335.4802246	0	0
70.0000763	335.6977844	0	0
70.2000732	335.9162903	0	0
70.4000702	336.1357117	0	0
70.6000671	336.3560791	0	0
70.8000641	336.5773621	0	0
71.000061	336.7996216	0	0
71.200058	337.0227966	0	0
71.4000549	337.2469177	0	0
71.6000519	337.4720154	0	0
71.8000488	337.6980286	0	0
